sample,shape,N,R,sigma,translate_scale,seed
circle_0001.csv,circle,400,3.0,0.03,5.0,20001
circle_0002.csv,circle,400,3.0,0.03,5.0,20002
circle_0003.csv,circle,400,3.0,0.03,5.0,20003
circle_0004.csv,circle,400,3.0,0.03,5.0,20004
circle_0005.csv,circle,400,3.0,0.03,5.0,20005
circle_0006.csv,circle,400,3.0,0.03,5.0,20006
circle_0007.csv,circle,400,3.0,0.03,5.0,20007
circle_0008.csv,circle,400,3.0,0.03,5.0,20008
circle_0009.csv,circle,400,3.0,0.03,5.0,20009
circle_0010.csv,circle,400,3.0,0.03,5.0,20010
circle_0011.csv,circle,400,3.0,0.03,5.0,20011
circle_0012.csv,circle,400,3.0,0.03,5.0,20012
circle_0013.csv,circle,400,3.0,0.03,5.0,20013
circle_0014.csv,circle,400,3.0,0.03,5.0,20014
circle_0015.csv,circle,400,3.0,0.03,5.0,20015
circle_0016.csv,circle,400,3.0,0.03,5.0,20016
circle_0017.csv,circle,400,3.0,0.03,5.0,20017
circle_0018.csv,circle,400,3.0,0.03,5.0,20018
circle_0019.csv,circle,400,3.0,0.03,5.0,20019
circle_0020.csv,circle,400,3.0,0.03,5.0,20020
circle_0021.csv,circle,400,3.0,0.03,5.0,20021
circle_0022.csv,circle,400,3.0,0.03,5.0,20022
circle_0023.csv,circle,400,3.0,0.03,5.0,20023
circle_0024.csv,circle,400,3.0,0.03,5.0,20024
circle_0025.csv,circle,400,3.0,0.03,5.0,20025
circle_0026.csv,circle,400,3.0,0.03,5.0,20026
circle_0027.csv,circle,400,3.0,0.03,5.0,20027
circle_0028.csv,circle,400,3.0,0.03,5.0,20028
circle_0029.csv,circle,400,3.0,0.03,5.0,20029
circle_0030.csv,circle,400,3.0,0.03,5.0,20030
circle_0031.csv,circle,400,3.0,0.03,5.0,20031
circle_0032.csv,circle,400,3.0,0.03,5.0,20032
circle_0033.csv,circle,400,3.0,0.03,5.0,20033
circle_0034.csv,circle,400,3.0,0.03,5.0,20034
circle_0035.csv,circle,400,3.0,0.03,5.0,20035
circle_0036.csv,circle,400,3.0,0.03,5.0,20036
circle_0037.csv,circle,400,3.0,0.03,5.0,20037
circle_0038.csv,circle,400,3.0,0.03,5.0,20038
circle_0039.csv,circle,400,3.0,0.03,5.0,20039
circle_0040.csv,circle,400,3.0,0.03,5.0,20040
circle_0041.csv,circle,400,3.0,0.03,5.0,20041
circle_0042.csv,circle,400,3.0,0.03,5.0,20042
circle_0043.csv,circle,400,3.0,0.03,5.0,20043
circle_0044.csv,circle,400,3.0,0.03,5.0,20044
circle_0045.csv,circle,400,3.0,0.03,5.0,20045
circle_0046.csv,circle,400,3.0,0.03,5.0,20046
circle_0047.csv,circle,400,3.0,0.03,5.0,20047
circle_0048.csv,circle,400,3.0,0.03,5.0,20048
circle_0049.csv,circle,400,3.0,0.03,5.0,20049
circle_0050.csv,circle,400,3.0,0.03,5.0,20050
